CIRCOSCRIZIONE,COLLEGIO PLURINOMINALE,COLLEGIO UNINOMINALE,COMUNE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VAUDA CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VESTIGNE'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VIALFRE'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VICO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VIDRACCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VILLANOVA CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VISCHE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VISTRORIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VIU'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,ANDEZENO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,ARIGNANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,BALDISSERO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,BORGARO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,BRANDIZZO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,BROZOLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,BRUSASCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CALUSO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CASALBORGONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CASELLE TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CASTAGNETO PO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CASTIGLIONE TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CAVAGNOLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CHIERI
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CHIVASSO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,CINZANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,FOGLIZZO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,GASSINO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,LAURIANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,LEINI
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,LOMBARDORE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MAPPANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MARENTINO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MAZZE'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MOMBELLO DI TORINO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MONTALDO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 07 - SETTIMO TORINESE,MONTANARO
